ptag_wwpairs,dominant_topic_id,word,weight
alind,2,know,0.028000001
alind,2,not,0.021
alind,2,think,0.017000001
alind,2,people,0.016000001
alind,2,feel,0.01
alind,2,say,0.008
alind,2,one,0.008
alind,2,now,0.007
saideep,3,practice,0.012
saideep,3,not,0.009
saideep,3,sense,0.007
saideep,3,understanding,0.007
saideep,3,life,0.007
saideep,3,might,0.006
saideep,3,change,0.006
saideep,3,self,0.006
shaurya,1,practice,0.009
shaurya,1,meditation,0.009
shaurya,1,nature,0.007
shaurya,1,often,0.006
shaurya,1,understanding,0.006
shaurya,1,law,0.005
shaurya,1,life,0.005
shaurya,1,experience,0.005
mani,3,practice,0.012
mani,3,not,0.009
mani,3,sense,0.007
mani,3,understanding,0.007
mani,3,life,0.007
mani,3,might,0.006
mani,3,change,0.006
mani,3,self,0.006
himanshu,3,practice,0.012
himanshu,3,not,0.009
himanshu,3,sense,0.007
himanshu,3,understanding,0.007
himanshu,3,life,0.007
himanshu,3,might,0.006
himanshu,3,change,0.006
himanshu,3,self,0.006
sandhya,3,practice,0.012
sandhya,3,not,0.009
sandhya,3,sense,0.007
sandhya,3,understanding,0.007
sandhya,3,life,0.007
sandhya,3,might,0.006
sandhya,3,change,0.006
sandhya,3,self,0.006
anuradha,2,know,0.028000001
anuradha,2,not,0.021
anuradha,2,think,0.017000001
anuradha,2,people,0.016000001
anuradha,2,feel,0.01
anuradha,2,say,0.008
anuradha,2,one,0.008
anuradha,2,now,0.007
shveta,2,know,0.028000001
shveta,2,not,0.021
shveta,2,think,0.017000001
shveta,2,people,0.016000001
shveta,2,feel,0.01
shveta,2,say,0.008
shveta,2,one,0.008
shveta,2,now,0.007
ranjana,3,practice,0.012
ranjana,3,not,0.009
ranjana,3,sense,0.007
ranjana,3,understanding,0.007
ranjana,3,life,0.007
ranjana,3,might,0.006
ranjana,3,change,0.006
ranjana,3,self,0.006
puneet,1,practice,0.009
puneet,1,meditation,0.009
puneet,1,nature,0.007
puneet,1,often,0.006
puneet,1,understanding,0.006
puneet,1,law,0.005
puneet,1,life,0.005
puneet,1,experience,0.005
tonu,2,know,0.028000001
tonu,2,not,0.021
tonu,2,think,0.017000001
tonu,2,people,0.016000001
tonu,2,feel,0.01
tonu,2,say,0.008
tonu,2,one,0.008
tonu,2,now,0.007
anirudh,0,life,0.009
anirudh,0,personal,0.008
anirudh,0,experience,0.007
anirudh,0,practice,0.006
anirudh,0,think,0.005
anirudh,0,issues,0.005
anirudh,0,societal,0.005
anirudh,0,understanding,0.005
nandkishore,1,practice,0.009
nandkishore,1,meditation,0.009
nandkishore,1,nature,0.007
nandkishore,1,often,0.006
nandkishore,1,understanding,0.006
nandkishore,1,law,0.005
nandkishore,1,life,0.005
nandkishore,1,experience,0.005
premchand,3,practice,0.012
premchand,3,not,0.009
premchand,3,sense,0.007
premchand,3,understanding,0.007
premchand,3,life,0.007
premchand,3,might,0.006
premchand,3,change,0.006
premchand,3,self,0.006
jyoti,3,practice,0.012
jyoti,3,not,0.009
jyoti,3,sense,0.007
jyoti,3,understanding,0.007
jyoti,3,life,0.007
jyoti,3,might,0.006
jyoti,3,change,0.006
jyoti,3,self,0.006
sushila,3,practice,0.012
sushila,3,not,0.009
sushila,3,sense,0.007
sushila,3,understanding,0.007
sushila,3,life,0.007
sushila,3,might,0.006
sushila,3,change,0.006
sushila,3,self,0.006
himmat,0,life,0.009
himmat,0,personal,0.008
himmat,0,experience,0.007
himmat,0,practice,0.006
himmat,0,think,0.005
himmat,0,issues,0.005
himmat,0,societal,0.005
himmat,0,understanding,0.005
fgd1,3,practice,0.012
fgd2,3,not,0.009
fgd3,3,sense,0.007
fgd4,3,understanding,0.007
fgd5,3,life,0.007
fgd6,3,might,0.006
fgd7,3,change,0.006
fgd8,3,self,0.006
fgd2,3,practice,0.012
fgd3,3,not,0.009
fgd4,3,sense,0.007
fgd5,3,understanding,0.007
fgd6,3,life,0.007
fgd7,3,might,0.006
fgd8,3,change,0.006
fgd9,3,self,0.006
