ptag_transcript,top_word,top_word_freq,sentiment_subjectivity
alind,people,21,0.44961
anirudh,personal,7,0.450061
anuradha,know,17,0.528151
fgd1,self,16,0.421981
fgd2,energy,13,0.424726
himanshu,practice,7,0.490662
himmat,life,9,0.488899
jyoti,now,7,0.427264
mani,understanding,5,0.429135
nandkishore,meditation,16,0.405997
premchand,others,5,0.455
puneet,practice,9,0.57512
ranjana,practice,8,0.455523
saideep,conflict,7,0.482493
sandhya,understanding,5,0.465238
shaurya,law,13,0.449143
shveta,not,18,0.46557
sushila,practice,11,0.454931
tonu,know,23,0.495814
